Índice del término,Término,TF,IDF,TF-IDF
0,dry,1,1.2039728043259361,1.2039728043259361
1,restrain,1,2.302585092994046,2.302585092994046
2,wine,1,0.6931471805599453,0.6931471805599453
3,offer,1,1.6094379124341003,1.6094379124341003
4,spice,1,1.6094379124341003,1.6094379124341003
5,profusion,1,2.302585092994046,2.302585092994046
6,balance,1,1.2039728043259361,1.2039728043259361
7,acidity,1,0.3566749439387324,0.3566749439387324
8,a,1,0.3566749439387324,0.3566749439387324
9,firm,1,1.6094379124341003,1.6094379124341003
10,texture,1,1.6094379124341003,1.6094379124341003
11,food,1,2.302585092994046,2.302585092994046
