Índice del término,Término,TF,IDF,TF-IDF
0,a,1,0.4054651081081644,0.4054651081081644
1,sweet,1,1.6582280766035324,1.6582280766035324
2,wine,1,0.6466271649250525,0.6466271649250525
3,flavors,1,0.965080896043587,0.965080896043587
4,white,1,1.9459101490553132,1.9459101490553132
5,sugar,1,3.044522437723423,3.044522437723423
6,orange,1,2.3513752571634776,2.3513752571634776
7,honey,1,1.9459101490553132,1.9459101490553132
8,vanilla,1,2.3513752571634776,2.3513752571634776
9,brightened,1,3.044522437723423,3.044522437723423
10,crisp,1,3.044522437723423,3.044522437723423
11,acidity,1,1.9459101490553132,1.9459101490553132
